Team,Win Total, Team_ID, Team_Abbr
Atlanta Hawks,49.5,1610612737,ATL
Boston Celtics,45.5,1610612738,BOS
Brooklyn Nets,27.5,1610612751,BKN
Charlotte Hornets,34,1610612766,CHA
Chicago Bulls,50.5,1610612741,CHI
Cleveland Cavaliers,56.5,1610612739,CLE
Dallas Mavericks,36.5,1610612742,DAL
Denver Nuggets,27.5,1610612743,DEN
Detroit Pistons,36.5,1610612765,DET
Golden State Warriors,59.5,1610612744,GSW
Houston Rockets,56.5,1610612745,HOU
Indiana Pacers,41.5,1610612754,IND
Los Angeles Clippers,56.5,1610612746,LAC
Los Angeles Lakers,28.5,1610612747,LAL
Memphis Grizzlies,50.5,1610612763,MEM
Miami Heat,46.5,1610612748,MIA
Milwaukee Bucks,42.5,1610612749,MIL
Minnesota Timberwolves,27.5,1610612750,MIN
New Orleans Pelicans,45,1610612740,NOP
New York Knicks,29.5,1610612752,NYK
Oklahoma City Thunder,57.5,1610612760,OKC
Orlando Magic,34.5,1610612753,ORL
Philadelphia 76ers,20.5,1610612755,PHI
Phoenix Suns,36.5,1610612756,PHX
Portland Trail Blazers,28.5,1610612757,POR
Sacramento Kings,36,1610612758,SAC
San Antonio Spurs,56.5,1610612759,SAS
Toronto Raptors,46.5,1610612761,TOR
Utah Jazz,42.5,1610612762,UTA
Washington Wizards,45.5,1610612764,WAS

