,Team,Win Total, Team_ID, Team_Abbr,Win Totals Ranking
9,Golden State Warriors,59.5,1610612744,GSW,30.0
20,Oklahoma City Thunder,57.5,1610612760,OKC,29.0
10,Houston Rockets,56.5,1610612745,HOU,26.5
26,San Antonio Spurs,56.5,1610612759,SAS,26.5
5,Cleveland Cavaliers,56.5,1610612739,CLE,26.5
12,Los Angeles Clippers,56.5,1610612746,LAC,26.5
4,Chicago Bulls,50.5,1610612741,CHI,23.5
14,Memphis Grizzlies,50.5,1610612763,MEM,23.5
0,Atlanta Hawks,49.5,1610612737,ATL,22.0
27,Toronto Raptors,46.5,1610612761,TOR,20.5
15,Miami Heat,46.5,1610612748,MIA,20.5
29,Washington Wizards,45.5,1610612764,WAS,18.5
1,Boston Celtics,45.5,1610612738,BOS,18.5
18,New Orleans Pelicans,45.0,1610612740,NOP,17.0
28,Utah Jazz,42.5,1610612762,UTA,15.5
16,Milwaukee Bucks,42.5,1610612749,MIL,15.5
11,Indiana Pacers,41.5,1610612754,IND,14.0
8,Detroit Pistons,36.5,1610612765,DET,12.0
23,Phoenix Suns,36.5,1610612756,PHX,12.0
6,Dallas Mavericks,36.5,1610612742,DAL,12.0
25,Sacramento Kings,36.0,1610612758,SAC,10.0
21,Orlando Magic,34.5,1610612753,ORL,9.0
3,Charlotte Hornets,34.0,1610612766,CHA,8.0
19,New York Knicks,29.5,1610612752,NYK,7.0
24,Portland Trail Blazers,28.5,1610612757,POR,5.5
13,Los Angeles Lakers,28.5,1610612747,LAL,5.5
17,Minnesota Timberwolves,27.5,1610612750,MIN,3.0
7,Denver Nuggets,27.5,1610612743,DEN,3.0
2,Brooklyn Nets,27.5,1610612751,BKN,3.0
22,Philadelphia 76ers,20.5,1610612755,PHI,1.0
